id,latitude,longitude,county,county_fips,state_id,state_name,state_fips,api_request_status
AYW00090001,-90.0,0.0,,,,,,OK
AYM00089606,-78.45,106.867,,,,,,OK
AYM00089034,-77.867,-34.617,,,,,,OK
AYM00089022,-75.45,-26.217,,,,,,OK
AYM00089662,-74.7,164.1,,,,,,OK
AYM00089504,-72.017,2.383,,,,,,OK
AYM00089004,-71.7,-2.8,,,,,,OK
AYM00089514,-70.767,11.75,,,,,,OK
AYM00089512,-70.767,11.833,,,,,,OK
AYM00089002,-70.667,-8.25,,,,,,OK
AYM00089574,-69.383,76.383,,,,,,OK
AYM00089532,-69.0,39.583,,,,,,OK
AYM00089571,-68.583,77.95,,,,,,OK
AYM00089570,-68.467,78.817,,,,,,OK
AYM00089066,-68.117,-67.133,,,,,,OK
AYM00089564,-67.6,62.867,,,,,,OK
AYM00089062,-67.567,-68.117,,,,,,OK
AYM00089642,-66.667,140.017,,,,,,OK
AYM00089592,-66.55,93.017,,,,,,OK
AYM00089611,-66.283,110.517,,,,,,OK
AYM00089809,-66.283,110.767,,,,,,OK
AYM00089063,-65.25,-64.267,,,,,,OK
AYM00089061,-64.766,-64.083,,,,,,OK
AYM00089055,-64.233,-56.717,,,,,,OK
AYM00088963,-63.4,-56.983,,,,,,OK
AYM00089059,-63.317,-56.683,,,,,,OK
AYM00089057,-62.5,-59.683,,,,,,OK
AYM00089053,-62.233,-58.633,,,,,,OK
AYM00089058,-62.217,-58.967,,,,,,OK
AYM00089251,-62.217,-58.75,,,,,,OK
AYM00089056,-62.183,-58.983,,,,,,OK
AYM00089050,-62.183,-58.883,,,,,,OK
AYM00088968,-60.733,-44.733,,,,,,OK
ARM00087938,-54.843,-68.296,,,,,,OK
ASM00094998,-54.499,158.937,,,,,,OK
SXM00088903,-54.283,-36.5,,,,,,OK
SXM00088900,-54.0,-38.05,,,,,,OK
ARM00087934,-53.778,-67.749,,,,,,OK
CI000085934,-53.0,-70.967,,,,,,OK
NZ000939450,-52.55,169.167,,,,,,OK
FKM00088894,-52.15,-60.6,,,,,,OK
FKM00088889,-51.823,-58.447,,,,,,OK
FKM00088881,-51.667,-58.1,,,,,,OK
AR000087925,-51.617,-69.283,,,,,,OK
FKM00088870,-51.417,-60.567,,,,,,OK
NZM00093929,-50.483,166.3,,,,,,OK
ARM00087904,-50.267,-72.05,,,,,,OK
FRM00061998,-49.35,70.25,,,,,,OK
ARM00087909,-49.307,-67.803,,,,,,OK
ARM00087896,-47.735,-65.904,,,,,,OK
SF000068994,-46.883,37.867,,,,,,OK
ARM00087852,-46.517,-71.017,,,,,,OK
FSM00061997,-46.433,51.85,,,,,,OK
NZ000093844,-46.417,168.333,,,,,,OK
CI000085874,-45.917,-71.7,,,,,,OK
AR000087860,-45.783,-67.5,,,,,,OK
CIM00085864,-45.594,-72.106,,,,,,OK
ARM00087814,-43.817,-68.883,,,,,,OK
ASN00094041,-43.6578,146.2711,,,,,,OK
ASN00094010,-43.4892,147.1453,,,,,,OK
NZM00093781,-43.489,172.532,,,,,,OK
ASN00094198,-43.4886,147.1444,,,,,,OK
ASN00094020,-43.3167,147.0075,,,,,,OK
ASN00094155,-43.2397,148.0025,,,,,,OK
ASN00094191,-43.2006,146.7683,,,,,,OK
AR000087828,-43.2,-65.266,,,,,,OK
ASN00097024,-43.0609,146.704,,,,,,OK
ASN00097083,-43.0425,146.2722,,,,,,OK
ASN00094220,-42.9858,147.0742,,,,,,OK
ASN00097080,-42.985,145.5022,,,,,,OK
AR000087803,-42.933,-71.15,,,,,,OK
ASN00094087,-42.8967,147.235,,,,,,OK
ASN00094029,-42.8897,147.3278,,,,,,OK
ASN00094008,-42.8339,147.5033,,,,,,OK
ASN00097053,-42.7681,146.0461,,,,,,OK
ASN00095063,-42.7567,146.6239,,,,,,OK
ARM00087823,-42.733,-65.067,,,,,,OK
NZ000936150,-42.717,170.983,,,,,,OK
ASN00095003,-42.7097,146.8983,,,,,,OK
ASN00094212,-42.6867,147.4258,,,,,,OK
ASN00092124,-42.6619,148.0181,,,,,,OK
ASN00092027,-42.5519,147.8753,,,,,,OK
ASN00094201,-42.4928,147.1981,,,,,,OK
ASN00095048,-42.4842,146.7106,,,,,,OK
ASN00094195,-42.4544,147.4614,,,,,,OK
NZM00093678,-42.417,173.7,,,,,,OK
ASN00096003,-42.2811,146.2808,,,,,,OK
ASN00097000,-42.1986,145.17,,,,,,OK
ASN00097072,-42.155,145.2908,,,,,,OK
ASN00096071,-42.1178,146.1772,,,,,,OK
ASN00093053,-42.025,147.4953,,,,,,OK
ASN00092019,-42.0067,147.7975,,,,,,OK
ASN00092114,-41.9953,148.2794,,,,,,OK
ARM00087800,-41.943,-71.532,,,,,,OK
ASN00096033,-41.8997,146.6694,,,,,,OK
ASN00092003,-41.8739,148.3036,,,,,,OK
ASN00097085,-41.8444,145.5419,,,,,,OK
ASN00091306,-41.7256,147.0794,,,,,,OK
ASN00092012,-41.6428,147.9664,,,,,,OK
ASN00091311,-41.5492,147.2144,,,,,,OK
CI000085799,-41.433,-73.1,,,,,,OK
ASN00091237,-41.4194,147.1222,,,,,,OK
ASN00091291,-41.3886,146.3219,,,,,,OK
ASN00092120,-41.3381,148.2792,,,,,,OK
NZM00093439,-41.333,174.8,,,,,,OK
ARM00087774,-41.25,-68.733,,,,,,OK
ASN00091126,-41.1708,146.4267,,,,,,OK
ASN00091219,-41.1708,147.4883,,,,,,OK
ARM00087765,-41.151,-71.158,,,,,,OK
ASN00091259,-41.1492,145.1517,,,,,,OK
ASN00091293,-41.0556,146.7856,,,,,,OK
ASN00091107,-40.9972,145.7292,,,,,,OK
ASN00092045,-40.9928,148.3467,,,,,,OK
ASN00091223,-40.9089,144.7094,,,,,,OK
NZ000093417,-40.9,174.983,,,,,,OK
ARM00087791,-40.869,-63.0,,,,,,OK
ASN00091292,-40.8347,145.0847,,,,,,OK
ARM00087784,-40.783,-65.1,,,,,,OK
ASN00092123,-40.7292,148.125,,,,,,OK
ASN00091245,-40.6828,144.69,,,,,,OK
CIM00085782,-40.6,-73.05,,,,,,OK
ASN00099005,-40.0911,148.0024,,,,,,OK
ASN00098017,-39.88,143.8831,,,,,,OK
CIM00085766,-39.65,-73.086,,,,,,OK
ASN00085096,-39.1297,146.4244,,,,,,OK
NZ000933090,-39.017,174.183,,,,,,OK
AR000087715,-38.95,-68.133,,,,,,OK
ASN00090015,-38.8556,143.5128,,,,,,OK
CI000085743,-38.75,-72.633,,,,,,OK
AR000877500,-38.733,-62.167,,,,,,OK
NZ000093292,-38.65,177.983,,,,,,OK
ASN00085099,-38.6297,145.8108,,,,,,OK
ASN00086127,-38.6078,145.5965,,,,,,OK
ASN00086373,-38.4612,145.3101,,,,,,OK
ASN00090180,-38.4583,144.0883,,,,,,OK
ASN00090184,-38.4306,141.5437,,,,,,OK
ASN00090175,-38.3906,142.2347,,,,,,OK
ARM00087688,-38.387,-60.33,,,,,,OK
ASN00086361,-38.3646,145.1785,,,,,,OK
ASN00090171,-38.3148,141.4705,,,,,,OK
ASN00090186,-38.2867,142.4522,,,,,,OK
ASN00090035,-38.2333,143.7925,,,,,,OK
ASN00085280,-38.2094,146.4747,,,,,,OK
ASN00086375,-38.1348,145.2637,,,,,,OK
ASN00085072,-38.1156,147.1322,,,,,,OK
ASN00085298,-38.1072,147.1317,,,,,,OK
ASN00090176,-38.0737,142.7744,,,,,,OK
ASN00087113,-38.0287,144.4783,,,,,,OK
ASN00086077,-37.98,145.0964,,,,,,OK
AR000087692,-37.933,-57.583,,,,,,OK
ASN00087168,-37.9075,144.1303,,,,,,OK
ASN00085279,-37.8817,147.5669,,,,,,OK
ASN00084150,-37.8717,148.006,,,,,,OK
ASN00086104,-37.871,145.2561,,,,,,OK
ASN00087031,-37.8565,144.7566,,,,,,OK
ASN00085291,-37.8383,146.2747,,,,,,OK
ASN00026020,-37.8333,140.7833,,,,,,OK
ASN00085296,-37.7481,147.1428,,,,,,OK
ASN00026021,-37.7473,140.7739,,,,,,OK
ASN00086068,-37.7408,145.0972,,,,,,OK
ASN00086038,-37.7276,144.9066,,,,,,OK
ASN00086383,-37.7239,145.4094,,,,,,OK
ASN00089112,-37.7067,142.9378,,,,,,OK
ASN00084144,-37.6924,148.0908,,,,,,OK
ASN00084145,-37.6922,148.4667,,,,,,OK
ASN00086282,-37.6655,144.8321,,,,,,OK
ASN00090173,-37.6486,142.0636,,,,,,OK
ARM00087679,-37.6,-62.383,,,,,,OK
ASN00084084,-37.5976,149.7289,,,,,,OK
ASN00090182,-37.583,141.3339,,,,,,OK
ASN00084016,-37.5679,149.9158,,,,,,OK
ASN00089002,-37.5127,143.7911,,,,,,OK
ARM00087637,-37.433,-61.883,,,,,,OK
ASN00088162,-37.3807,144.9654,,,,,,OK
ASN00084143,-37.3417,149.0228,,,,,,OK
ASN00079103,-37.295,142.6039,,,,,,OK
ASN00026091,-37.2906,140.8254,,,,,,OK
ASN00089085,-37.2775,142.9811,,,,,,OK
ASN00069137,-37.2622,150.0504,,,,,,OK
ARM00087645,-37.237,-59.228,,,,,,OK
ASN00088023,-37.2313,145.9124,,,,,,OK
ASN00084142,-37.22,148.2625,,,,,,OK
