county,county_fips,state_id,state_name,state_fips,total_precip_mm,num_precip_days,num_precip_days_greater_1mm,0.05_percentile_high,0.25_percentile_high,0.50_percentile_high,0.75_percentile_high,0.95_percentile_high,min_high,max_high
Abbeville,45001.0,SC,South Carolina,45.0,8430.0,366,366,10.0,17.8,23.3,29.4,32.8,1.7,36.7
Accomack,51001.0,VA,Virginia,51.0,7493.0,365,365,7.5,14.75,20.55,26.95,31.4,1.7,37.8
Ada,16001.0,ID,Idaho,16.0,6690.0,360,360,3.3,8.600000000000001,17.5,28.05,33.599999999999994,-2.1,41.7
Adair,19001.0,IA,Iowa,19.0,5762.0,326,322,-3.3,6.1,16.7,26.7,30.6,-14.4,34.4
Adair,29001.0,MO,Missouri,29.0,3218.0,184,180,-5.55,3.6000000000000005,9.450000000000001,16.65,21.15,-10.6,34.4
Adams,8001.0,CO,Colorado,8.0,7293.0,341,340,0.0,10.8,21.15,30.85,35.0,-9.4,38.9
Adams,16003.0,ID,Idaho,16.0,4546.0,328,314,-1.7,3.5,10.8,21.65,26.95,-6.3,37.8
Adams,17001.0,IL,Illinois,17.0,5963.0,323,320,-0.25,8.05,17.25,27.5,31.15,-13.3,35.0
Adams,18001.0,IN,Indiana,18.0,5997.0,341,333,-0.6,7.2,16.7,26.4,30.85,-9.4,36.1
Adams,19003.0,IA,Iowa,19.0,5959.0,330,327,-2.2,7.2,16.1,26.7,30.6,-14.4,34.4
Adams,31001.0,NE,Nebraska,31.0,6539.0,342,334,-1.05,8.05,19.15,28.6,32.5,-8.8,38.3
Adams,38001.0,ND,North Dakota,38.0,5368.0,317,312,-5.25,4.7,15.3,25.85,30.0,-17.8,36.7
Adams,42001.0,PA,Pennsylvania,42.0,6422.0,354,353,2.2,9.4,17.8,27.2,31.1,-3.9,37.8
Adams,53001.0,WA,Washington,53.0,6474.0,356,351,1.7,8.9,17.8,27.2,32.2,-8.9,43.3
Adams,55001.0,WI,Wisconsin,55.0,4970.0,313,308,-3.3,3.3,12.8,23.9,29.4,-12.8,33.9
Addison,50001.0,VT,Vermont,50.0,5059.0,321,315,-3.3,4.4,12.8,24.4,29.4,-15.6,35.6
Adjuntas,72001.0,PR,Puerto Rico,72.0,8537.0,287,287,26.4,28.299999999999997,29.700000000000003,31.1,32.2,21.7,34.4
Aguada,72003.0,PR,Puerto Rico,72.0,11309.0,364,364,28.9,30.0,31.7,32.2,32.2,26.1,33.3
Aibonito,72009.0,PR,Puerto Rico,72.0,9653.0,366,366,22.8,25.0,26.7,28.3,28.9,20.0,32.2
Aiken,45003.0,SC,South Carolina,45.0,8863.0,360,360,11.399999999999999,18.9,25.85,31.1,34.15,2.8,38.3
Aitkin,27001.0,MN,Minnesota,27.0,3311.0,202,196,-6.7,1.7,14.4,22.8,27.8,-18.3,33.3
Alachua,12001.0,FL,Florida,12.0,10108.0,366,366,17.2,24.4,28.9,31.7,33.9,9.4,36.1
Alamance,37001.0,NC,North Carolina,37.0,7036.0,324,324,7.800000000000001,15.8,21.4,28.6,32.2,1.1,35.6
Alameda,6001.0,CA,California,6.0,7613.0,364,364,13.05,16.4,20.85,25.0,28.9,2.8,44.4
Alamosa,8003.0,CO,Colorado,8.0,6070.0,330,326,-1.65,8.850000000000001,17.75,25.85,29.450000000000003,-10.6,33.9
Albany,36001.0,NY,New York,36.0,5545.0,341,338,-0.55,6.65,15.0,23.85,28.85,-8.9,35.0
Albany,56001.0,WY,Wyoming,56.0,4264.0,302,294,-4.9,3.1,11.7,23.3,28.3,-16.1,34.4
Albemarle,51003.0,VA,Virginia,51.0,7284.0,364,364,5.55,13.05,19.4,27.5,31.15,-0.1,38.3
Alcona,26001.0,MI,Michigan,26.0,4269.0,308,299,-3.05,2.5,10.55,21.1,25.85,-11.1,34.4
Alcorn,28003.0,MS,Mississippi,28.0,1544.0,86,86,6.7,13.3,17.2,22.8,26.7,2.8,30.0
Aleutians East,2013.0,AK,Alaska,2.0,2709.0,323,317,-2.7,3.3,7.9,12.5,14.4,-12.0,18.9
