id,name,total_precip_mm,num_precip_days,num_precip_days_greater_1mm,min_high,quantiles_by_5,max_high,latitude,longitude,county,county_fips,state_id,state_name,state_fips,api_request_status
USC00272999,FIRST CONNECTICUT LAKE        ,3976.6999999999994,288,282,-18.3,"['-18.3', '-6.1', '-3.3', '-1.7', '0.0', '1.7', '2.8', '3.9', '5.6', '8.3', '10.6', '12.2', '14.4', '17.2', '19.4', '21.1', '23.3', '24.4', '26.1', '27.8', '32.8']",32.8,45.09,-71.2906,Coos,33007.0,NH,New Hampshire,33.0,OK
USW00003757,ST INIGOES WEBSTER NOLF       ,7931.999999999999,363,363,3.3,"['3.3', '7.8', '10.6', '12.2', '13.3', '15.0', '16.7', '18.3', '18.9', '20.6', '22.2', '23.3', '24.4', '26.1', '27.8', '28.9', '30.6', '31.7', '33.3', '34.4', '37.8']",37.8,38.1417,-76.4292,St. Mary's,24037.0,MD,Maryland,24.0,OK
USC00164700,JENNINGS                      ,8296.9,336,336,6.7,"['6.7', '11.7', '14.4', '17.8', '18.9', '20.6', '21.7', '22.8', '23.9', '25.0', '26.1', '26.7', '27.2', '27.8', '28.9', '29.4', '31.1', '31.7', '33.3', '33.9', '36.1']",36.1,30.2003,-92.6642,Jefferson Davis,22053.0,LA,Louisiana,22.0,OK
USC00068138,STORRS                        ,5641.600000000001,347,343,-5.0,"['-5.0', '0.0', '2.2', '4.4', '5.6', '7.2', '8.3', '10.0', '12.2', '13.9', '15.6', '17.2', '19.4', '21.1', '22.2', '23.9', '25.6', '26.7', '28.3', '30.0', '32.2']",32.2,41.795,-72.2286,Tolland,9013.0,CT,Connecticut,9.0,OK
USC00190998,BUFFUMVILLE LAKE              ,5906.300000000001,349,344,-6.1,"['-6.1', '0.6', '2.8', '4.4', '5.6', '7.8', '8.9', '10.0', '12.2', '14.4', '16.1', '18.3', '20.0', '21.7', '23.3', '25.0', '27.2', '28.9', '30.6', '31.7', '35.0']",35.0,42.1164,-71.9075,Worcester,25027.0,MA,Massachusetts,25.0,OK
USC00182060,CONOWINGO DAM                 ,6876.6,364,364,1.1,"['1.1', '5.6', '7.2', '8.3', '10.0', '11.7', '13.3', '13.9', '15.0', '16.7', '18.3', '20.0', '21.7', '23.3', '25.6', '26.7', '28.3', '30.0', '31.1', '32.2', '36.1']",36.1,39.6556,-76.175,Harford,24025.0,MD,Maryland,24.0,OK
USC00069388,W THOMPSON LAKE               ,5791.299999999999,350,345,-5.6,"['-5.6', '0.6', '2.8', '4.4', '6.1', '7.2', '8.9', '10.6', '12.2', '13.9', '16.1', '18.3', '20.0', '21.7', '23.3', '24.4', '26.1', '27.2', '29.4', '30.6', '33.3']",33.3,41.9442,-71.9031,Windham,9015.0,CT,Connecticut,9.0,OK
USC00272303,E SANDWICH                    ,5301.800000000001,330,321,-10.6,"['-10.6', '-2.2', '0.6', '1.7', '3.3', '3.9', '5.6', '7.8', '10.0', '12.2', '13.9', '16.7', '18.3', '21.1', '22.8', '25.0', '26.7', '28.9', '30.0', '31.7', '33.9']",33.9,43.81,-71.3425,Carroll,33003.0,NH,New Hampshire,33.0,OK
USW00054772,FRYEBURG E SLOPES AP          ,5458.800000000001,336,330,-7.7,"['-7.7', '-1.6', '1.1', '2.8', '3.3', '5.0', '6.7', '7.8', '10.0', '12.2', '14.4', '16.7', '18.9', '21.1', '23.3', '24.4', '27.2', '28.9', '30.6', '31.7', '35.6']",35.6,43.9906,-70.9475,Oxford,23017.0,ME,Maine,23.0,OK
USW00014755,MT WASHINGTON                 ,794.2,195,190,-22.8,"['-22.8', '-11.7', '-10.0', '-8.3', '-6.7', '-5.6', '-4.4', '-2.8', '-1.1', '0.0', '1.1', '3.3', '5.6', '7.2', '8.9', '10.6', '12.2', '13.9', '14.4', '16.1', '20.0']",20.0,44.2667,-71.2994,Coos,33007.0,NH,New Hampshire,33.0,OK
USC00276818,PINKHAM NOTCH                 ,4209.400000000001,297,292,-13.9,"['-13.9', '-4.4', '-2.2', '-0.6', '0.6', '1.7', '3.9', '5.0', '6.7', '8.9', '10.6', '13.3', '15.0', '18.3', '19.4', '21.1', '22.8', '25.0', '26.7', '28.3', '31.7']",31.7,44.2581,-71.2525,Coos,33007.0,NH,New Hampshire,33.0,OK
USW00022516,KAHULUI AP                    ,11308.8,366,366,23.3,"['23.3', '26.7', '27.8', '28.3', '28.9', '28.9', '29.4', '30.0', '30.0', '30.6', '31.1', '31.7', '32.2', '32.2', '32.8', '32.8', '33.3', '33.3', '33.9', '34.4', '35.6']",35.6,20.8997,-156.4286,Maui,15009.0,HI,Hawaii,15.0,OK
USC00274234,HUDSON 1 SSE                  ,5914.4,346,343,-7.8,"['-7.8', '0.0', '2.2', '4.4', '5.6', '6.7', '8.3', '10.0', '12.2', '14.4', '16.7', '18.3', '20.0', '22.2', '23.3', '25.6', '27.2', '28.9', '30.6', '32.2', '35.0']",35.0,42.7831,-71.4147,Hillsborough,33011.0,NH,New Hampshire,33.0,OK
USC00275712,NASHUA 2 NNW                  ,6105.399999999998,349,345,-6.7,"['-6.7', '0.6', '2.8', '4.4', '6.1', '7.2', '8.3', '10.6', '12.8', '15.0', '16.7', '19.4', '20.6', '22.8', '24.4', '26.1', '27.8', '30.0', '31.1', '32.8', '35.6']",35.6,42.7914,-71.4736,Hillsborough,33011.0,NH,New Hampshire,33.0,OK
