id,latitude,longitude,county,county_fips,state_id,state_name,state_fips,api_request_status
USC00028214,33.5575,-111.5358,Maricopa,04013,AZ,Arizona,04,OK
USW00013876,33.5656,-86.745,Jefferson,01073,AL,Alabama,01,OK
JA000047893,33.567,133.55,,,,,,OK
USW00073803,33.5722,-86.0572,Talladega,01121,AL,Alabama,01,OK
USC00383665,33.5756,-81.7897,Aiken,45003,SC,South Carolina,45,OK
CHM00056079,33.583,102.967,,,,,,OK
JA000047807,33.583,130.383,,,,,,OK
USW00013871,33.5872,-85.8556,Calhoun,01015,AL,Alabama,01,OK
USC00031152,33.59,-92.8236,Ouachita,05103,AR,Arkansas,05,OK
USC00029634,33.595,-112.3014,Maricopa,04013,AZ,Arizona,04,OK
USC00091640,33.5972,-85.0806,Carroll,13045,GA,Georgia,13,OK
USC00023190,33.6028,-111.7131,Maricopa,04013,AZ,Arizona,04,OK
USC00046175,33.6031,-117.8836,Orange,06059,CA,California,06,OK
PKM00041571,33.617,73.099,,,,,,OK
USR0000AHIL,33.6183,-110.42,Gila,04007,AZ,Arizona,04,OK
USW00023158,33.6186,-114.7142,Riverside,06065,CA,California,06,OK
USR0000TCLA,33.6189,-95.1667,Red River,48387,TX,Texas,48,OK
USC00030286,33.6194,-94.0994,Little River,05081,AR,Arkansas,05,OK
USW00003192,33.6228,-111.9106,Maricopa,04013,AZ,Arizona,04,OK
USW00003104,33.6267,-116.1594,Riverside,06065,CA,California,06,OK
USC00413828,33.6267,-100.3369,King,48269,TX,Texas,48,OK
USW00013874,33.63,-84.4417,Clayton,13063,GA,Georgia,13,OK
USW00053919,33.6361,-91.7556,Drew,05043,AR,Arkansas,05,OK
USC00388879,33.6397,-81.3722,Aiken,45003,SC,South Carolina,45,OK
USC00410923,33.6403,-96.1661,Fannin,48147,TX,Texas,48,OK
USC00013775,33.6436,-85.6092,Cleburne,01029,AL,Alabama,01,OK
USC00413420,33.6461,-97.0592,Cooke,48097,TX,Texas,48,OK
USR0000CELC,33.6472,-117.4111,Riverside,06065,CA,California,06,OK
USR0000ASHK,33.6472,-85.6344,Cleburne,01029,AL,Alabama,01,OK
USC00027281,33.6489,-111.1089,Gila,04007,AZ,Arizona,04,OK
USS0009S11S,33.65,-109.31,Greenlee,04011,AZ,Arizona,04,OK
JA000047809,33.65,130.699,,,,,,OK
USC00412121,33.6517,-101.245,Crosby,48107,TX,Texas,48,OK
USW00023042,33.6542,-101.8136,Lubbock,48303,TX,Texas,48,OK
USC00041738,33.6617,-115.7206,Riverside,06065,CA,California,06,OK
USC00386299,33.6628,-81.0333,Orangeburg,45075,SC,South Carolina,45,OK
USC00381726,33.6633,-82.1897,McCormick,45065,SC,South Carolina,45,OK
USC00026865,33.665,-114.2272,La Paz,04012,AZ,Arizona,04,OK
USR0000CKEE,33.6667,-116.7667,Riverside,06065,CA,California,06,OK
AGM00060550,33.667,1.0,,,,,,OK
USC00416794,33.6744,-95.5586,Lamar,48277,TX,Texas,48,OK
USW00093184,33.68,-117.8664,Orange,06059,CA,California,06,OK
USC00042805,33.6861,-117.3458,Riverside,06065,CA,California,06,OK
USW00003184,33.6883,-112.0817,Maricopa,04013,AZ,Arizona,04,OK
USS0009S06S,33.69,-109.22,Greenlee,04011,AZ,Arizona,04,OK
USC00385493,33.6989,-80.1992,Clarendon,45027,SC,South Carolina,45,OK
USR0000AFAP,33.7011,-109.7058,Apache,04001,AZ,Arizona,04,OK
USC00418274,33.7033,-96.6419,Grayson,48181,TX,Texas,48,OK
USC00043855,33.7044,-115.6289,Riverside,06065,CA,California,06,OK
USC00044259,33.7086,-116.2153,Riverside,06065,CA,California,06,OK
USC00033428,33.7092,-93.5564,Hempstead,05057,AR,Arkansas,05,OK
USC00297386,33.7158,-108.7769,Catron,35003,NM,New Mexico,35,OK
USC00416074,33.7186,-102.7586,Cochran,48079,TX,Texas,48,OK
USC00044303,33.72,-117.7231,Orange,06059,CA,California,06,OK
USC00099157,33.7264,-82.7058,Wilkes,13317,GA,Georgia,13,OK
USC00026603,33.7275,-111.8606,Maricopa,04013,AZ,Arizona,04,OK
USC00043896,33.7381,-116.8939,Riverside,06065,CA,California,06,OK
USC00018517,33.7392,-88.1275,Lamar,01075,AL,Alabama,01,OK
USS0008S01S,33.74,-108.95,Catron,35003,NM,New Mexico,35,OK
USR0000CCRT,33.7403,-116.8414,Riverside,06065,CA,California,06,OK
USR0000TCDD,33.7411,-95.9219,Fannin,48147,TX,Texas,48,OK
USC00047888,33.7442,-117.8667,Orange,06059,CA,California,06,OK
CHM00056046,33.75,99.65,,,,,,OK
USC00414982,33.7542,-99.1442,Baylor,48023,TX,Texas,48,OK
USC00386153,33.7544,-78.8219,Horry,45051,SC,South Carolina,45,OK
USC00388474,33.7564,-81.0428,Calhoun,45017,SC,South Carolina,45,OK
USC00419163,33.7569,-99.8619,Knox,48275,TX,Texas,48,OK
USC00044211,33.7572,-116.7067,Riverside,06065,CA,California,06,OK
USS0009S18S,33.76,-109.48,Apache,04001,AZ,Arizona,04,OK
USC00386775,33.7717,-81.2581,Lexington,45063,SC,South Carolina,45,OK
USC00384607,33.7756,-81.8444,Edgefield,45037,SC,South Carolina,45,OK
USC00095204,33.7764,-82.4714,Lincoln,13181,GA,Georgia,13,OK
USC00029464,33.7775,-112.5231,Maricopa,04013,AZ,Arizona,04,OK
USW00003888,33.7792,-84.5214,Fulton,13121,GA,Georgia,13,OK
USR0000GWAS,33.7806,-82.8161,Wilkes,13317,GA,Georgia,13,OK
USW00063850,33.7836,-83.3897,Oconee,13219,GA,Georgia,13,OK
USC00382711,33.7931,-81.8906,Edgefield,45037,SC,South Carolina,45,OK
USC00047813,33.7964,-116.9753,Riverside,06065,CA,California,06,OK
AGE00147719,33.7997,2.89,,,,,,OK
USS0009S07S,33.8,-109.15,Apache,04001,AZ,Arizona,04,OK
USW00003122,33.8017,-118.3411,Los Angeles,06037,CA,California,06,OK
USC00291138,33.8044,-106.8908,Socorro,35053,NM,New Mexico,35,OK
USR0000CFRE,33.8081,-117.7111,Orange,06059,CA,California,06,OK
USC00416742,33.8083,-100.2981,King,48269,TX,Texas,48,OK
USC00381241,33.8083,-79.8567,Williamsburg,45089,SC,South Carolina,45,OK
USC00042598,33.8089,-115.4508,Riverside,06065,CA,California,06,OK
USC00020632,33.8097,-111.6497,Maricopa,04013,AZ,Arizona,04,OK
USS0010S01S,33.81,-110.92,Gila,04007,AZ,Arizona,04,OK
USC00036253,33.8103,-91.2778,Desha,05041,AR,Arkansas,05,OK
USW00023129,33.8117,-118.1464,Los Angeles,06037,CA,California,06,OK
USW00093718,33.8117,-78.7239,Horry,45051,SC,South Carolina,45,OK
USC00045091,33.8131,-116.6419,Riverside,06065,CA,California,06,OK
USC00021282,33.8161,-111.9019,Maricopa,04013,AZ,Arizona,04,OK
LEM00040101,33.817,35.85,,,,,,OK
USC00410926,33.8186,-97.7336,Montague,48337,TX,Texas,48,OK
USC00035908,33.8203,-93.3878,Nevada,05099,AR,Arkansas,05,OK
USC00032540,33.8228,-92.3989,Dallas,05039,AR,Arkansas,05,OK
USW00093138,33.8281,-116.5053,Riverside,06065,CA,California,06,OK
USC00220021,33.83,-88.5214,Monroe,28095,MS,Mississippi,28,OK
USR0000GDAL,33.8333,-84.74,Paulding,13223,GA,Georgia,13,OK
USC00410012,33.8339,-101.8436,Hale,48189,TX,Texas,48,OK
USC00047326,33.8342,-118.3758,Los Angeles,06037,CA,California,06,OK
USR0000AALP,33.8417,-109.1222,Apache,04001,AZ,Arizona,04,OK
USC00020159,33.8492,-109.1469,Apache,04001,AZ,Arizona,04,OK
LEE00147734,33.85,36.0,,,,,,OK
JA000047887,33.85,132.783,,,,,,OK
USC00221314,33.8592,-89.3136,Calhoun,28013,MS,Mississippi,28,OK
USC00384886,33.8642,-79.7297,Florence,45041,SC,South Carolina,45,OK
USC00040192,33.8647,-117.8425,Orange,06059,CA,California,06,OK
PK000041560,33.867,70.083,,,,,,OK
USC00415265,33.8692,-102.2592,Lamb,48279,TX,Texas,48,OK
USW00003166,33.8719,-117.9789,Orange,06059,CA,California,06,OK
USW00053863,33.875,-84.3022,DeKalb,13089,GA,Georgia,13,OK
USC00345563,33.8761,-97.1642,Love,40085,OK,Oklahoma,40,OK
USR0000CCLK,33.8767,-117.3089,Riverside,06065,CA,California,06,OK
MOM00060150,33.879,-5.515,,,,,,OK
TS000060765,33.88,10.1,,,,,,OK
CHM00058102,33.883,115.767,,,,,,OK
USC00224265,33.8847,-88.9867,Chickasaw,28017,MS,Mississippi,28,OK
USC00341266,33.8936,-97.2692,Love,40085,OK,Oklahoma,40,OK
IRM00040785,33.895,51.577,,,,,,OK
USR0000GATH,33.8967,-83.3656,Clarke,13059,GA,Georgia,13,OK
USS0009S04S,33.9,-109.16,Apache,04001,AZ,Arizona,04,OK
USC00380506,33.9,-81.5389,Lexington,45063,SC,South Carolina,45,OK
USC00018998,33.9108,-87.8469,Fayette,01057,AL,Alabama,01,OK
USC00290983,33.9114,-106.3494,Socorro,35053,NM,New Mexico,35,OK
USC00385660,33.9125,-82.2878,McCormick,45065,SC,South Carolina,45,OK
USC00036768,33.9153,-92.8267,Dallas,05039,AR,Arkansas,05,OK
USC00031191,33.9153,-91.7711,Lincoln,05079,AR,Arkansas,05,OK
USS0009S02S,33.92,-109.46,Apache,04001,AZ,Arizona,04,OK
USC00342680,33.9208,-96.3203,Bryan,40013,OK,Oklahoma,40,OK
USW00003167,33.9228,-118.3342,Los Angeles,06037,CA,California,06,OK
USC00016121,33.9264,-86.4211,Blount,01009,AL,Alabama,01,OK
USC00317813,33.9283,-78.3894,Brunswick,37019,NC,North Carolina,37,OK
USC00035112,33.9292,-93.8508,Howard,05061,AR,Arkansas,05,OK
USR0000CBEU,33.9306,-116.95,Riverside,06065,CA,California,06,OK
USC00344451,33.9336,-94.8278,McCurtain,40089,OK,Oklahoma,40,OK
USC00388440,33.9364,-80.3569,Sumter,45085,SC,South Carolina,45,OK
USW00023174,33.9381,-118.3889,Los Angeles,06037,CA,California,06,OK
USW00013873,33.9481,-83.3275,Clarke,13059,GA,Georgia,13,OK
USW00013883,33.9486,-81.1186,Lexington,45063,SC,South Carolina,45,OK
JA000047762,33.95,130.933,,,,,,OK
USW00003171,33.9519,-117.4386,Riverside,06065,CA,California,06,OK
