county,county_ascii,county_fips,state_id,state_name,city_largest,city_largest_id,lat,lng,population,density,timezone,timezone_all,age_median,age_under_10,age_10_to_19,age_20s,age_30s,age_40s,age_50s,age_60s,age_70s,age_over_80,male,female,married,divorced,never_married,widowed,family_size,family_dual_income,income_household_median,income_household_under_5,income_household_5_to_10,income_household_10_to_15,income_household_15_to_20,income_household_20_to_25,income_household_25_to_35,income_household_35_to_50,income_household_50_to_75,income_household_75_to_100,income_household_100_to_150,income_household_150_over,income_household_six_figure,income_individual_median,home_ownership,home_value,rent_median,rent_burden,education_less_highschool,education_highschool,education_some_college,education_bachelors,education_graduate,education_college_or_above,education_stem_degree,labor_force_participation,labor_force,labor_force_average,unemployment_rate,unemployment_rate_average,bls_date,race_white,race_black,race_asian,race_native,race_pacific,race_other,race_multiple,hispanic,disabled,poverty,limited_english,commute_time,health_uninsured,veteran,zips,total_precip_mm,num_precip_days,num_precip_days_greater_1mm,0.05_percentile_high,0.25_percentile_high,0.50_percentile_high,0.75_percentile_high,0.95_percentile_high,min_high,max_high,crime_rate_per_100000_x,crime_rate_per_100000_y,id,low_temp,high_temp,precip_num_days,density_group,age_median_group
Crittenden,Crittenden,5035,AR,Arkansas,West Memphis,1840015448.0,35.2079,-90.3089,48672.0,30.79,America/Chicago,America/Chicago,35.2,15.4,14.2,13.5,12.8,11.4,12.4,11.4,5.5,3.1,47.6,52.4,39.1,17.7,35.9,7.3,3.18,43.3,40161.0,3.6,4.5,6.8,8.9,7.8,12.8,13.6,15.9,10.7,10.6,4.9,15.5,23938.0,57.4,110340.0,732.0,34.1,17.4,34.8,30.4,11.9,5.5,17.4,37.6,61.5,21311.0,21208.0,8.8,8.8,12-2020,43.5,48.0,0.7,0.3,0.0,0.4,7.1,2.6,16.8,22.2,1.0,20.3,8.4,6.6,72301 72303 72325 72327 72331 72332 72339 72348 72364 72376 72384 72386,7692.0,344.0,343.0,6.65,15.3,23.35,30.3,33.3,-2.2,35.6,1754.914968,1754.914968,5035,43.97,91.94,343.0,20-50,26-35
Alexander,Alexander,17003,IL,Illinois,Cairo,1840007633.0,37.1915,-89.3375,6260.0,10.27,America/Chicago,America/Chicago,45.3,12.8,13.1,9.0,9.3,11.2,15.7,15.1,10.0,3.8,47.8,52.2,40.6,16.7,32.1,10.7,3.72,28.7,36806.0,5.1,6.1,7.8,6.9,8.4,13.2,17.0,18.5,9.4,4.5,3.0,7.5,21845.0,73.7,55152.0,526.0,26.6,13.5,40.7,32.9,9.9,3.0,12.9,29.9,45.7,1911.0,1941.0,7.1,9.6,12-2020,63.2,33.5,0.0,0.6,0.6,0.4,1.9,1.3,22.2,25.3,0.0,30.3,7.7,10.3,62914 62952 62957 62962 62969 62988 62990 62992 62993,7242.0,356.0,353.0,3.9,12.8,20.0,28.9,32.2,-3.3,35.0,1664.700485,1664.700485,17003,39.019999999999996,89.96000000000001,353.0,0-20,36-45
Kenedy,Kenedy,48261,TX,Texas,Sarita,1840026059.0,26.9285,-97.7017,568.0,0.15,America/Chicago,America/Chicago,39.7,20.2,10.5,8.2,11.8,9.7,12.6,7.2,13.0,6.5,49.3,50.7,42.6,16.6,13.6,27.2,3.39,24.2,38021.0,0.0,9.6,2.0,6.6,20.3,0.0,34.0,16.2,11.2,0.0,0.0,0.0,22847.0,23.4,,533.0,15.8,73.6,20.2,5.2,0.3,0.8,1.1,0.0,52.8,182.0,188.0,0.0,5.6,12-2020,99.8,0.0,0.0,0.0,0.0,0.2,0.0,94.7,19.7,5.5,49.7,17.0,25.9,0.0,78338 78385 78580,728.0,31.0,31.0,14.4,20.0,25.0,27.2,28.9,11.1,30.6,1456.31068,1456.31068,48261,57.92,84.02,31.0,0-20,36-45
Baltimore,Baltimore,24510,MD,Maryland,Baltimore,1840001592.0,39.3051,-76.6144,609032.0,2904.98,America/New_York,America/New_York,35.4,12.1,11.2,17.0,16.0,11.0,12.7,11.0,5.6,3.3,47.0,53.0,26.7,14.5,52.5,6.4,3.42,47.5,50379.0,5.5,5.9,6.1,5.5,4.4,10.0,12.3,16.3,10.8,12.2,11.0,23.2,29943.0,47.5,159116.0,1073.0,37.7,14.8,29.1,24.2,16.8,15.1,31.9,47.4,62.0,282198.0,285891.0,8.3,8.7,12-2020,30.5,62.4,2.6,0.3,0.0,1.8,2.5,5.3,15.5,21.2,2.0,31.4,6.6,5.8,21201 21202 21203 21205 21206 21207 21208 21209 21210 21211 21212 21213 21214 21215 21216 21217 21218 21222 21223 21224 21225 21226 21227 21228 21229 21230 21231 21233 21234 21236 21237 21239 21251 21263 21264 21270 21273 21275 21278 21279 21281 21287 21290 21297 21298,4617.0,259.0,259.0,5.0,11.15,16.35,23.35,27.5,-0.6,36.1,1419.5375689999998,1419.5375689999998,24510,41.0,81.5,259.0,1000+,26-35
Shelby,Shelby,47157,TN,Tennessee,Memphis,1840015457.0,35.184,-89.8955,936374.0,473.49,America/Chicago,America/Chicago,35.6,13.8,13.8,14.8,13.4,12.3,12.6,11.0,5.4,2.9,47.5,52.5,39.0,13.9,41.6,5.4,3.38,48.8,51657.0,4.9,3.7,5.9,5.6,5.4,10.2,13.1,17.1,10.9,12.3,10.9,23.2,28181.0,55.1,148187.0,942.0,35.2,11.6,27.5,29.3,18.9,12.7,31.6,39.8,64.7,471469.0,451667.0,7.1,9.6,12-2020,39.1,53.7,2.6,0.2,0.0,2.7,1.7,6.4,12.5,19.3,1.8,22.8,11.5,7.2,37501 37544 38002 38004 38011 38014 38016 38017 38018 38027 38028 38029 38053 38054 38055 38083 38088 38101 38103 38104 38105 38106 38107 38108 38109 38111 38112 38113 38114 38115 38116 38117 38118 38119 38120 38122 38124 38125 38126 38127 38128 38130 38131 38132 38133 38134 38135 38136 38137 38138 38139 38141 38145 38148 38150 38151 38152 38157 38159 38161 38163 38166 38167 38168 38173 38174 38175 38177 38181 38182 38183 38184 38186 38187 38188 38190 38193 38194 38197,8232.0,365.0,363.0,6.95,16.1,22.8,30.6,33.3,-1.7,37.2,1315.0037519999998,1315.0037519999998,47157,44.51,91.94,363.0,100-1000,36-45
Storey,Storey,32029,NV,Nevada,Virginia City,1840026641.0,39.4469,-119.5293,3988.0,5.83,America/Los_Angeles,America/Los_Angeles,50.9,10.0,9.7,8.1,7.4,13.1,15.8,17.1,16.3,2.5,52.9,47.1,54.1,17.9,22.6,5.4,2.84,49.3,66292.0,0.0,0.0,4.2,3.3,1.9,6.8,17.3,25.6,9.9,17.1,13.9,31.0,36864.0,90.4,241630.0,669.0,18.1,6.4,27.8,34.5,21.8,9.6,31.4,52.2,50.9,1999.0,1967.0,3.0,8.7,12-2020,87.6,1.7,0.9,0.4,0.0,0.2,9.2,3.2,19.7,8.2,0.0,28.9,10.1,14.5,89403 89434 89440 89442 89521,4997.0,296.0,294.0,2.2,8.3,16.1,26.1,30.0,-3.3,33.9,1217.656012,1217.656012,32029,35.96,86.0,294.0,0-20,46-55
District of Columbia,District of Columbia,11001,DC,District of Columbia,Washington,1840006060.0,38.9047,-77.0163,692683.0,4374.65,America/New_York,America/New_York,34.0,11.4,9.6,19.6,19.9,11.8,10.7,8.8,5.1,3.0,47.4,52.6,28.9,10.6,56.4,4.1,3.32,55.8,86420.0,5.0,3.6,4.3,3.3,2.7,5.9,7.7,12.2,10.6,16.4,28.2,44.6,49542.0,41.6,600200.0,1541.0,31.9,9.1,16.8,15.5,24.8,33.8,58.6,52.2,70.4,413304.0,403307.0,6.9,7.9,12-2020,41.3,46.3,4.0,0.3,0.1,5.0,3.1,11.0,11.7,16.2,3.4,30.8,3.7,4.6,20001 20002 20003 20004 20005 20006 20007 20008 20009 20010 20011 20012 20013 20015 20016 20017 20018 20019 20020 20022 20024 20026 20027 20029 20030 20032 20033 20035 20036 20037 20038 20039 20040 20042 20043 20044 20045 20047 20049 20050 20052 20053 20055 20056 20057 20058 20059 20060 20061 20062 20063 20064 20065 20066 20067 20068 20069 20070 20071 20073 20074 20075 20076 20077 20078 20080 20081 20082 20090 20091 20201 20202 20203 20204 20206 20207 20208 20210 20211 20212 20213 20214 20215 20216 20217 20218 20219 20220 20221 20222 20223 20224 20226 20227 20228 20229 20230 20232 20233 20235 20237 20238 20239 20240 20241 20242 20244 20245 20250 20251 20252 20254 20260 20261 20262 20265 20266 20268 20270 20277 20289 20299 20301 20303 20306 20310 20314 20317 20318 20319 20330 20340 20350 20355 20370 20372 20373 20374 20375 20376 20380 20388 20389 20390 20391 20392 20393 20394 20395 20398 20401 20402 20403 20404 20405 20406 20407 20408 20410 20411 20412 20413 20414 20415 20416 20417 20418 20419 20420 20421 20422 20423 20424 20425 20426 20427 20428 20429 20431 20433 20434 20435 20436 20437 20439 20440 20441 20442 20444 20447 20451 20453 20456 20460 20463 20468 20469 20470 20472 20500 20501 20502 20503 20504 20505 20506 20507 20508 20509 20510 20511 20515 20520 20521 20522 20523 20524 20525 20526 20527 20528 20529 20530 20531 20533 20534 20535 20536 20537 20538 20539 20540 20541 20542 20543 20544 20546 20547 20548 20549 20551 20552 20553 20554 20555 20557 20559 20560 20565 20566 20570 20571 20572 20573 20575 20576 20577 20578 20579 20580 20581 20585 20586 20590 20591 20593 20594 20597 20599 56901 56902 56904 56908 56915 56920 56933 56935 56944 56945 56950 56965 56967 56972 56998 56999,6802.0,341.0,340.0,4.75,12.5,20.0,27.5,32.5,0.6,37.8,1216.801325,1216.801325,11001,40.55,90.5,340.0,1000+,26-35
Scott,Scott,29201,MO,Missouri,Sikeston,1840009921.0,37.053000000000004,-89.5685,38633.0,35.52,America/Chicago,America/Chicago,40.0,13.9,11.7,12.6,11.8,11.7,14.0,12.1,7.5,4.5,48.4,51.6,50.1,14.8,26.9,8.2,2.97,44.6,44139.0,3.3,5.8,7.4,6.9,6.5,10.3,15.5,19.5,9.6,10.5,4.7,15.2,22709.0,66.7,107972.0,687.0,34.3,15.0,41.6,27.0,10.0,6.3,16.3,36.4,57.9,19803.0,19700.0,4.4,5.3,12-2020,85.2,11.6,0.4,0.4,0.0,0.5,1.8,2.3,20.1,19.8,0.2,20.9,11.0,9.3,63735 63736 63740 63742 63758 63767 63771 63774 63780 63784 63801 63823 63824 63834,7182.0,346.0,346.0,4.15,12.5,20.6,29.15,32.5,-3.3,36.1,1163.145839,1163.145839,29201,39.47,90.5,346.0,20-50,36-45
Philadelphia,Philadelphia,42101,PA,Pennsylvania,Philadelphia,1840000673.0,40.0077,-75.1339,1579075.0,4540.42,America/New_York,America/New_York,34.4,12.6,12.1,17.5,15.5,11.3,11.8,10.1,5.5,3.5,47.3,52.7,30.6,12.6,50.7,6.2,3.46,45.7,45927.0,6.3,6.3,6.4,5.9,5.4,10.2,12.7,15.8,10.5,11.0,9.4,20.4,26211.0,53.0,160287.0,1042.0,37.6,15.3,32.6,22.4,17.3,12.4,29.7,45.0,61.0,699455.0,732916.0,9.2,12.2,12-2020,40.7,42.1,7.2,0.4,0.0,6.5,3.1,14.7,16.7,24.3,6.8,33.6,8.1,4.8,19019 19092 19093 19099 19101 19102 19103 19104 19105 19106 19107 19108 19109 19110 19111 19112 19114 19115 19116 19118 19119 19120 19121 19122 19123 19124 19125 19126 19127 19128 19129 19130 19131 19132 19133 19134 19135 19136 19137 19138 19139 19140 19141 19142 19143 19144 19145 19146 19147 19148 19149 19150 19151 19152 19153 19154 19155 19160 19161 19162 19170 19171 19172 19173 19175 19176 19177 19178 19179 19181 19182 19183 19184 19185 19187 19188 19190 19191 19192 19193 19194 19195 19196 19197 19244 19255,5412.0,270.0,268.0,4.4,11.4,21.65,28.6,32.8,0.0,37.2,1150.2963300000001,1150.2963300000001,42101,39.92,91.03999999999999,268.0,1000+,26-35
Pershing,Pershing,32027,NV,Nevada,Lovelock,1840020154.0,40.4404,-118.4044,6615.0,0.42,America/Los_Angeles,America/Los_Angeles,42.1,9.2,8.2,12.8,17.7,13.8,14.8,13.0,8.0,2.5,64.1,35.9,44.2,22.1,28.1,5.5,3.03,45.9,50491.0,3.3,6.8,4.9,4.4,4.5,7.1,18.5,21.6,12.7,10.7,5.5,16.2,26088.0,66.8,114845.0,678.0,25.1,19.1,37.2,32.6,6.1,5.1,11.2,53.3,39.7,2340.0,2434.0,7.6,5.0,12-2020,80.2,3.8,1.1,3.4,0.3,6.6,4.7,24.4,13.5,12.0,1.0,19.6,11.8,10.6,89405 89418 89419 89445,7501.0,363.0,361.0,5.0,11.1,20.6,30.85,35.0,-2.2,41.1,1148.756725,1148.756725,32027,41.0,95.0,361.0,0-20,36-45
